date,close,open,high,low,volume,change_percent,avg_vol_20d
20050104,986.927,996.682,996.682,984.795,2323762.03,-0.9787474841524172,2323762.03
20050105,1003.633,986.57,1008.855,985.677,3486101.13,1.7295275550645153,2904931.58
20050106,994.595,1003.49,1003.49,990.792,2933905.59,-0.8864064415190964,2914589.5833333335
20050107,997.606,993.434,1009.0,990.446,3391626.98,0.41995744055468465,3033848.9325
20050110,1006.337,996.928,1006.457,993.123,2949405.33,0.9437993516081393,3016960.212
20050111,1008.343,1006.211,1009.501,999.86,3136115.21,0.21188398854712862,3036819.3783333334
20050112,1008.62,1008.01,1008.743,998.361,3196393.8,0.060515272665947126,3059615.7242857143
20050113,1013.07,1008.098,1014.841,1005.348,4715733.61,0.4932060176689264,3266630.46
20050114,1000.169,1012.699,1019.48,999.266,4016937.34,-1.2372876837046323,3349997.8911111113
20050117,977.522,990.987,991.022,974.333,4358603.2,-1.3587463811331448,3450858.422
20050118,991.419,977.603,991.839,974.149,4516132.58,1.4132526189056325,3547701.527272727
20050119,986.241,991.291,991.291,981.227,4255249.31,-0.5094366840816741,3606663.8425
20050120,972.463,983.198,983.198,966.887,4652048.48,-1.0918451827607474,3687078.0453846157
20050121,988.519,971.501,989.718,951.427,6185255.83,1.7517223348200395,3865519.3157142857
20050124,1008.175,1009.947,1009.947,998.37,7323355.14,-0.1754547515859791,4096041.7040000004
20050125,999.553,1006.0,1006.0,989.946,4694803.44,-0.6408548707753482,4133464.3125
20050126,987.955,997.638,997.638,985.669,4113900.82,-0.9705925395784836,4132313.518823529
20050127,971.373,986.146,986.146,970.354,4123213.75,-1.498054040679566,4131807.9761111108
20050128,952.413,971.373,971.941,949.112,4072373.28,-1.9518763646920425,4128679.834210526
20050131,922.653,948.439,948.439,921.58,4095099.05,-2.7187831795191832,4127000.7950000004
20050201,913.331,919.8,929.688,911.933,4199745.68,-0.7033050663187582,4220799.9775
20050202,964.243,913.025,964.423,913.025,6553566.22,5.609704005914414,4374173.232
20050203,945.312,963.746,967.936,944.764,6371300.84,-1.912744644335745,4546042.9945
20050204,962.028,944.447,963.81,943.472,5193013.91,1.8615126100247044,4636112.341
20050216,972.337,967.432,979.304,965.939,4693322.68,0.5070123791646309,4723308.2085
20050217,977.272,971.838,977.44,964.324,4031958.49,0.5591466890572382,4768100.3725000005
20050218,964.769,977.12,977.12,964.554,4112811.45,-1.264020795808089,4813921.255000001
20050221,981.819,965.001,981.887,964.471,4765203.14,1.7427961214547947,4816394.731500001
20050222,1007.688,982.418,1008.671,980.505,9575789.05,2.572224857443571,5094337.317
20050223,1019.258,1008.293,1023.33,1002.801,10201823.34,1.0874815157895603,5386498.324
20050224,1024.446,1018.292,1024.873,1012.445,8683232.83,0.6043453154890623,5594853.3365
20050225,1024.118,1024.569,1035.474,1023.744,9650761.25,-0.04401850924632913,5864628.9335
20050228,1020.847,1023.191,1026.037,1014.941,7028051.56,-0.22908723786663984,5983429.0875
20050301,1021.162,1020.595,1023.96,1011.561,6675636.9,0.05555582772794372,6007948.141
20050302,1006.148,1021.357,1028.329,1005.335,7457971.16,-1.4890973479400393,6014678.942
20050303,1011.288,1004.1,1011.7,996.362,5372494.18,0.7158649536898704,6048563.479
20050304,1003.21,1011.2,1012.665,1001.848,4525189.36,-0.7901503164556971,6069127.906
20050307,1006.953,1004.341,1008.356,1001.861,4475140.53,0.26007103165159706,6086724.245
20050308,1029.457,1007.684,1029.457,1007.684,7187007.99,2.1606972026945095,6242455.9805
20050309,1032.55,1031.602,1034.618,1024.89,8257822.73,0.09189590559148444,6450592.1645
20050310,1005.545,1032.274,1032.274,1002.415,7106020.49,-2.589331902188753,6595905.905
20050311,1009.434,1003.781,1010.857,999.111,5955310.53,0.5631706517656759,6565993.1205
20050314,1007.766,1009.177,1016.538,991.059,7550503.25,-0.13981690030589858,6624953.240999999
20050315,993.831,1007.892,1007.892,992.015,6499568.05,-1.3950899501137062,6690280.948000001
20050316,983.916,992.642,992.642,977.132,5311964.51,-0.8790681836956323,6721213.0395
20050317,970.966,983.105,984.246,970.338,5313307.42,-1.234761292028828,6785280.486
20050318,949.509,969.118,973.1,945.597,5393917.03,-2.0233862130308213,6849335.765000001
20050321,949.553,947.571,952.756,940.094,4192190.1,0.20916638436591778,6820685.113
20050322,922.564,948.784,949.067,918.093,5795013.26,-2.7635373277795607,6631646.3235
20050323,923.194,921.069,937.682,914.541,5290283.44,0.23071018566470047,6386069.3285
20050324,933.347,922.181,933.919,914.646,4319201.33,1.2108252067652596,6167867.7535
20050325,931.417,933.173,936.125,927.181,4189844.6,-0.18817518295106822,5894821.921
20050328,922.923,930.168,930.168,909.172,4019570.19,-0.7788915550739226,5744397.8525
20050329,916.811,922.659,929.455,916.654,3698567.09,-0.6338202954721036,5595544.362000001
20050330,888.949,915.088,915.088,887.981,4689495.59,-2.8564465931145433,5457120.5835
20050331,896.068,887.07,896.408,880.878,4125613.75,1.0143506149458252,5394776.562000001
20050401,927.546,895.227,934.549,884.626,6921793.47,3.6101458065943137,5514606.7675
20050404,909.87,919.139,920.623,904.618,5333838.08,-1.0084437718342933,5557541.6450000005
20050405,901.744,908.185,912.382,899.796,4572502.75,-0.7092167344758962,5426816.383
20050406,918.557,901.744,921.638,893.027,6805027.76,1.8644981280718238,5354176.6345
20050407,932.333,919.235,945.571,917.626,9540235.21,1.4248804712614245,5475887.3705
20050408,949.457,931.774,949.468,928.058,7997380.66,1.8977777873175248,5577990.876999999
20050411,948.509,949.847,957.342,943.722,8688242.48,-0.14086479190858794,5634877.8385
20050412,927.41,947.115,947.115,927.11,6039966.52,-2.0805287636665075,5611897.762
20050413,950.229,932.311,951.198,932.311,8141086.33,1.921890871179253,5753353.853
20050414,935.425,952.538,954.141,934.128,6983687.86,-1.7965687458138213,5836872.875
20050415,913.271,931.666,931.666,911.318,6661596.96,-1.9744200174740836,5900256.8715
20050418,901.118,910.889,910.889,895.275,5003269.08,-1.0726883297525778,5940810.820499999
20050419,902.785,899.934,905.052,893.29,4798602.98,0.31680100985183346,5890990.3065
20050420,884.083,902.22,902.22,880.928,5321650.39,-2.0102635720777697,5892558.654
20050421,867.328,881.676,886.437,863.138,6250349.12,-1.6273551735558265,5989116.043500001
20050422,857.401,865.817,870.005,851.343,6224884.82,-0.9720298862230765,6090868.054500001
20050425,841.058,846.142,847.812,829.548,5819861.95,-0.6008447754632271,6180882.6425
20050426,855.24,839.248,858.107,835.857,6199955.1,1.9055154137990156,6305952.043
20050427,839.953,857.951,857.951,839.562,5943654.92,-2.0977888014583637,6368660.009500001
20050428,860.616,837.384,863.452,825.509,7643112.42,2.7743544180447643,6544534.943
20050429,847.611,860.393,860.393,845.436,6013685.38,-1.4856001850317284,6499129.5385
20050509,818.399,848.088,851.209,818.105,4206100.47,-3.5006980407693504,6442742.658
20050510,818.088,814.765,818.497,791.103,4946935.84,0.40784766159567226,6461464.3125
20050511,811.57,816.817,822.773,809.58,4637579.06,-0.6423715471151993,6353091.8775
20050512,807.51,810.16,814.887,799.816,4597105.46,-0.32709588229485254,6105935.39
20050513,814.878,806.728,819.416,801.868,5197528.45,1.0102537658293862,5965942.7795
